,bleu_openrnn_opus,bleu_openrnn_ft,bleu_marianmt_pt,bleu_marianmt_ft,bleu_mbart_pt,bleu_mbart_ft,bleu_google,bleu_chatgpt_p1,bleu_chatgpt_p2,bleu_maritaca_p1,bleu_maritaca_p2
bleu_openrnn_opus,1.0,0.9992419233031417,0.00010840659203648073,0.22468583421406618,0.40932198544608656,0.22468583421406618,2.5930060432166613e-08,0.0,7.076561558960748e-13,1.1102230246251565e-16,2.2537527399890678e-14
bleu_openrnn_ft,0.9992419233031417,1.0,1.4194810111778366e-06,0.02267641982161739,0.06091386441555946,0.02267641982161739,1.0166789632393147e-10,0.0,8.881784197001252e-16,0.0,0.0
bleu_marianmt_pt,0.00010840659203648073,1.4194810111778366e-06,1.0,0.5758628325076489,0.35776248681864864,0.5758628325076489,0.9269593846299171,0.0015578946403643767,0.10537089575803349,0.0021596849396697815,0.02939224878229263
bleu_marianmt_ft,0.22468583421406618,0.02267641982161739,0.5758628325076489,1.0,0.9999999155147986,1.0,0.015139264119143792,2.0215473961471275e-08,2.2536585766896877e-05,3.321036756709361e-08,2.2089277509351746e-06
bleu_mbart_pt,0.40932198544608656,0.06091386441555946,0.35776248681864864,0.9999999155147986,1.0,0.9999999155147986,0.004737962655773975,2.614420457902611e-09,4.239306465758652e-06,4.398877373468224e-09,3.632246718954235e-07
bleu_mbart_ft,0.22468583421406618,0.02267641982161739,0.5758628325076489,1.0,0.9999999155147986,1.0,0.015139264119143792,2.0215473961471275e-08,2.2536585766896877e-05,3.321036756709361e-08,2.2089277509351746e-06
bleu_google,2.5930060432166613e-08,1.0166789632393147e-10,0.9269593846299171,0.015139264119143792,0.004737962655773975,0.015139264119143792,1.0,0.2061147559661224,0.9269593846299171,0.2443275117132221,0.7127151545055201
bleu_chatgpt_p1,0.0,0.0,0.0015578946403643767,2.0215473961471275e-08,2.614420457902611e-09,2.0215473961471275e-08,0.2061147559661224,1.0,0.9819389201078086,0.999999999999912,0.9995064689380725
bleu_chatgpt_p2,7.076561558960748e-13,8.881784197001252e-16,0.10537089575803349,2.2536585766896877e-05,4.239306465758652e-06,2.2536585766896877e-05,0.9269593846299171,0.9819389201078086,1.0,0.9890806627445242,0.9999981241423055
bleu_maritaca_p1,1.1102230246251565e-16,0.0,0.0021596849396697815,3.321036756709361e-08,4.398877373468224e-09,3.321036756709361e-08,0.2443275117132221,0.999999999999912,0.9890806627445242,1.0,0.9998080125983243
bleu_maritaca_p2,2.2537527399890678e-14,0.0,0.02939224878229263,2.2089277509351746e-06,3.632246718954235e-07,2.2089277509351746e-06,0.7127151545055201,0.9995064689380725,0.9999981241423055,0.9998080125983243,1.0
