,bertscore_openrnn_opus,bertscore_openrnn_ft,bertscore_marianmt_pt,bertscore_marianmt_ft,bertscore_mbart_pt,bertscore_mbart_ft,bertscore_google,bertscore_chatgpt_p1,bertscore_chatgpt_p2,bertscore_maritaca_p1,bertscore_maritaca_p2
bertscore_openrnn_opus,1.0,0.9999907095479014,0.00010840659203648073,0.00640596499915691,0.28676023337037804,6.4970056573576684e-06,8.881784197001252e-16,1.1102230246251565e-16,1.1102230246251565e-16,7.73336950032899e-12,4.440892098500626e-15
bertscore_openrnn_ft,0.9999907095479014,1.0,0.0011160321372771786,0.03778822236011159,0.6319556638396147,8.957703302647779e-05,5.895284260759581e-14,1.0103029524088925e-14,7.327471962526033e-15,3.073304943868038e-10,2.815525590449397e-13
bertscore_marianmt_pt,0.00010840659203648073,0.0011160321372771786,1.0,0.9976208548730544,0.4912448054352233,0.9999812632061638,0.007428160701507758,0.0032167259954014593,0.0027465110603359655,0.22468583421406618,0.015139264119143792
bertscore_marianmt_ft,0.00640596499915691,0.03778822236011159,0.9976208548730544,1.0,0.9715949811877994,0.9269593846299171,0.00013098391624211114,4.536712636860063e-05,3.722020579743912e-05,0.015139264119143792,0.0003292121683705629
bertscore_mbart_pt,0.28676023337037804,0.6319556638396147,0.4912448054352233,0.9715949811877994,1.0,0.17218883705073762,1.1191064908100401e-07,2.935079057575507e-08,2.2899441565193968e-08,6.0869411737107804e-05,3.632246718954235e-07
bertscore_mbart_ft,6.4970056573576684e-06,8.957703302647779e-05,0.9999812632061638,0.9269593846299171,0.17218883705073762,1.0,0.0481809462769236,0.02421401097208431,0.02122587090382122,0.5758628325076489,0.08519492428355224
bertscore_google,8.881784197001252e-16,5.895284260759581e-14,0.007428160701507758,0.00013098391624211114,1.1191064908100401e-07,0.0481809462769236,1.0,0.9999999979045399,0.9999999890595088,0.9890806627445243,0.9999999991857873
bertscore_chatgpt_p1,1.1102230246251565e-16,1.0103029524088925e-14,0.0032167259954014593,4.536712636860063e-05,2.935079057575507e-08,0.02421401097208431,0.9999999979045399,1.0,0.9999999999999999,0.9612814721520924,0.9999988031091853
bertscore_chatgpt_p2,1.1102230246251565e-16,7.327471962526033e-15,0.0027465110603359655,3.722020579743912e-05,2.2899441565193968e-08,0.02122587090382122,0.9999999890595088,0.9999999999999999,1.0,0.9530207950955019,0.9999971222683701
bertscore_maritaca_p1,7.73336950032899e-12,3.073304943868038e-10,0.22468583421406618,0.015139264119143792,6.0869411737107804e-05,0.5758628325076489,0.9890806627445243,0.9612814721520924,0.9530207950955019,1.0,0.9976208548730544
bertscore_maritaca_p2,4.440892098500626e-15,2.815525590449397e-13,0.015139264119143792,0.0003292121683705629,3.632246718954235e-07,0.08519492428355224,0.9999999991857873,0.9999988031091853,0.9999971222683701,0.9976208548730544,1.0
